"Stkcd","Trddt","Opnprc","Hiprc","Loprc","Clsprc","Dnshrtrd"
"002371","2019-02-14","47.780","48.990","47.200","48.740","7496877"
"002371","2019-02-15","48.480","48.860","47.980","48.100","4909317"
"002371","2019-02-18","48.250","49.720","47.380","49.410","11518586"
"002371","2019-02-19","49.150","50.170","46.810","47.850","14024806"
"002371","2019-02-20","47.600","47.660","46.500","47.180","8859857"
"002371","2019-02-21","47.280","48.490","46.210","46.440","10765871"
"002371","2019-02-22","46.390","49.560","46.390","49.500","13336753"
"002371","2019-02-25","52.000","54.110","50.100","53.300","18183631"
"002371","2019-02-26","53.000","53.880","50.900","52.200","13215150"
"002371","2019-02-27","51.500","52.560","50.610","51.300","8894194"
"002371","2019-02-28","51.800","53.010","51.010","51.580","8288676"
"002371","2019-03-01","51.900","52.330","50.620","51.730","5356178"
"002371","2019-03-04","52.980","56.900","52.000","55.580","15452141"
"002371","2019-03-05","55.510","61.140","55.300","61.140","12193555"
"002371","2019-03-06","67.000","67.250","62.540","65.170","29032179"
"002371","2019-03-07","65.310","71.480","63.450","67.800","19425266"
"002371","2019-03-08","67.000","74.580","63.500","72.650","27715231"
"002371","2019-03-11","76.480","79.000","65.390","71.500","26682961"
"002371","2019-03-12","73.810","78.650","72.570","78.650","21918118"
"002371","2019-03-13","80.500","83.000","70.900","72.000","24167765"
"002371","2019-03-14","70.000","72.000","67.360","69.100","18918494"
"002371","2019-03-15","69.970","70.800","67.480","68.380","13031826"
"002371","2019-03-18","68.430","71.660","65.550","70.900","14171250"
"002371","2019-03-19","69.800","74.300","68.550","71.660","13253808"
"002371","2019-03-20","71.000","71.860","67.620","69.350","10745135"
"002371","2019-03-21","69.140","72.800","67.990","70.420","15410736"
"002371","2019-03-22","71.700","73.940","69.380","71.360","13169455"
"002371","2019-03-25","69.600","73.440","69.180","71.110","13953795"
"002371","2019-03-26","71.240","73.180","68.000","68.000","13345766"
"002371","2019-03-27","68.890","70.040","66.120","68.110","11653386"
"002371","2019-03-28","67.210","71.500","67.200","68.190","12070343"
"002371","2019-03-29","67.690","71.100","65.530","70.490","14411115"
"002371","2019-04-01","71.140","75.070","69.940","73.570","15194831"
"002371","2019-04-02","73.500","77.500","72.480","72.910","14973725"
"002371","2019-04-03","72.220","73.880","71.600","73.250","9000702"
"002371","2019-04-04","74.500","75.660","70.120","71.000","14416107"
"002371","2019-04-08","70.500","70.500","66.700","66.900","14734693"
"002371","2019-04-09","67.000","68.490","65.900","67.250","9246645"
"002371","2019-04-10","66.880","67.300","65.530","66.680","7408755"
"002371","2019-04-11","66.600","66.600","62.680","63.760","12586169"
"002371","2019-04-12","64.080","65.290","63.820","64.610","6892532"
"002371","2019-04-15","65.850","67.350","63.360","63.640","8947298"
"002371","2019-04-16","63.010","67.130","62.260","66.910","11459610"
"002371","2019-04-17","66.810","67.340","65.600","65.800","8763337"
"002371","2019-04-18","65.530","66.650","64.660","64.960","5551600"
"002371","2019-04-19","64.750","65.490","63.750","64.500","4914820"
"002371","2019-04-22","65.250","67.290","64.500","65.440","11080227"
"002371","2019-04-23","65.290","66.500","63.100","63.970","8448346"
"002371","2019-04-24","64.150","67.220","62.210","66.760","13160812"
"002371","2019-04-25","66.500","67.350","62.780","63.240","10377147"
"002371","2019-04-26","62.990","65.500","62.580","63.890","8530669"
"002371","2019-04-29","64.470","64.470","61.150","61.800","8579912"
"002371","2019-04-30","61.330","63.020","60.550","61.010","6579302"
"002371","2019-05-06","58.000","59.350","54.910","54.910","9769561"
"002371","2019-05-07","55.470","56.130","54.800","55.900","6720125"
"002371","2019-05-08","54.880","61.490","54.510","59.850","15366992"
"002371","2019-05-09","59.820","64.780","59.490","63.180","16545852"
"002371","2019-05-10","63.180","69.500","62.380","69.500","21411806"
"002371","2019-05-13","68.000","69.900","66.740","68.040","13423170"
"002371","2019-05-14","67.900","68.710","66.300","66.890","9719051"
"002371","2019-05-15","67.400","68.290","66.970","68.290","10442614"
"002371","2019-05-16","67.890","67.900","65.680","66.970","10035589"
"002371","2019-05-17","69.000","70.500","66.250","66.550","15342310"
"002371","2019-05-20","68.500","70.390","67.760","68.810","13301540"
"002371","2019-05-21","67.890","69.800","66.000","68.120","11130962"
"002371","2019-05-22","68.180","73.010","67.880","72.600","17377212"
"002371","2019-05-23","71.990","71.990","68.000","68.090","16919765"
"002371","2019-05-24","66.080","67.650","65.800","65.820","9073595"
"002371","2019-05-27","65.900","71.000","65.890","70.180","12405128"
"002371","2019-05-28","70.100","70.880","69.000","69.660","9416404"
"002371","2019-05-29","69.550","70.880","68.550","69.440","8703502"
"002371","2019-05-30","68.610","68.660","66.050","67.600","8672013"
"002371","2019-05-31","67.540","68.570","66.660","66.740","6494271"
"002371","2019-06-03","67.410","67.960","64.510","65.450","8363760"
"002371","2019-06-04","65.020","66.320","63.480","63.580","7287507"
"002371","2019-06-05","64.470","64.830","63.250","63.810","5050628"
"002371","2019-06-06","63.970","64.500","62.350","63.300","5486007"
"002371","2019-06-10","63.590","64.800","63.410","64.300","4186317"
"002371","2019-06-11","64.220","66.600","63.200","66.410","8143772"
"002371","2019-06-12","66.340","66.960","65.520","66.400","7235089"
"002371","2019-06-13","66.330","66.850","65.710","65.760","4542463"
"002371","2019-06-14","65.170","66.380","62.900","62.990","6159089"
"002371","2019-06-17","62.990","63.550","59.500","60.770","8670550"
"002371","2019-06-18","60.500","61.550","60.200","60.800","4099244"
"002371","2019-06-19","63.620","64.330","62.390","62.460","7357598"
"002371","2019-06-20","62.440","65.150","62.100","63.990","6509805"
"002371","2019-06-21","64.900","67.800","64.850","67.150","11080109"
"002371","2019-06-24","66.800","67.970","66.120","66.900","5333449"
"002371","2019-06-25","67.030","67.090","64.120","65.010","5571531"
"002371","2019-06-26","64.590","68.490","64.230","68.160","9712421"
"002371","2019-06-27","67.810","70.880","67.810","69.950","10701301"
"002371","2019-06-28","69.950","71.600","68.800","69.250","6615581"
"002371","2019-07-01","71.500","72.440","70.000","70.620","8696158"
"002371","2019-07-02","70.520","70.540","68.480","68.960","7056406"
"002371","2019-07-03","68.600","68.930","66.910","67.250","6483392"
"002371","2019-07-04","67.500","67.910","66.470","67.150","4282054"
"002371","2019-07-05","67.010","68.200","67.010","67.850","5411729"
"002371","2019-07-08","67.530","68.630","66.510","67.400","6902846"
"002371","2019-07-09","66.200","67.600","65.600","67.050","4756257"
"002371","2019-07-10","67.750","70.770","67.700","68.540","9765640"
"002371","2019-07-11","68.690","69.000","66.100","66.300","7549305"
"002371","2019-07-12","66.150","66.790","65.000","65.580","4464019"
"002371","2019-07-15","65.600","69.580","64.600","69.140","10613568"
"002371","2019-07-16","68.910","70.160","68.900","69.350","6406875"
"002371","2019-07-17","69.980","71.400","69.700","69.900","8303715"
"002371","2019-07-18","68.690","68.780","65.500","65.530","13946564"
"002371","2019-07-19","65.880","67.250","65.540","66.950","8017526"
"002371","2019-07-22","68.640","69.500","63.550","63.750","12349989"
"002371","2019-07-23","63.050","65.400","63.000","64.780","5733641"
"002371","2019-07-24","64.890","66.200","64.620","65.000","5668640"
"002371","2019-07-25","64.950","66.300","64.830","65.480","6878328"
"002371","2019-07-26","65.830","66.000","63.880","64.370","7693612"
"002371","2019-07-29","64.600","65.900","64.050","65.330","6083673"
"002371","2019-07-30","65.330","65.680","64.250","64.500","5195185"
"002371","2019-07-31","64.450","65.140","64.040","64.580","5366679"
"002371","2019-08-01","64.000","64.480","60.250","61.000","14337104"
"002371","2019-08-02","59.450","61.590","58.800","60.740","7957375"
"002371","2019-08-05","60.490","61.130","59.660","59.800","5437898"
"002371","2019-08-06","58.180","59.280","56.400","59.000","7946494"
"002371","2019-08-07","59.030","59.690","55.800","56.190","10148124"
"002371","2019-08-08","56.750","58.250","56.220","57.950","7976920"
"002371","2019-08-09","58.300","58.830","56.450","57.090","6128382"
"002371","2019-08-12","57.570","58.610","56.680","58.080","8190860"
"002371","2019-08-13","57.500","58.400","56.890","57.200","5255222"
"002371","2019-08-14","58.200","59.100","57.880","58.450","9183850"
"002371","2019-08-15","56.940","59.150","56.200","59.130","10341069"
"002371","2019-08-16","58.740","60.580","58.450","59.370","9761908"
"002371","2019-08-19","59.930","62.660","59.020","61.440","14047980"
"002371","2019-08-20","61.400","62.190","59.650","59.850","8361978"
"002371","2019-08-21","59.700","60.750","58.230","60.020","8707041"
"002371","2019-08-22","59.700","63.510","59.700","62.080","15201764"
"002371","2019-08-23","62.830","63.670","61.390","62.020","10341372"
"002371","2019-08-26","60.660","65.600","60.660","65.090","17421742"
"002371","2019-08-27","65.060","66.280","64.110","65.200","11730489"
"002371","2019-08-28","65.000","65.180","63.540","64.010","8122124"
"002371","2019-08-29","64.000","64.670","63.500","64.050","7004005"
"002371","2019-08-30","64.040","67.010","63.620","64.700","15728928"
"002371","2019-09-02","64.990","67.660","63.960","66.980","13711886"
"002371","2019-09-03","66.970","70.740","66.140","69.130","16340932"
"002371","2019-09-04","70.040","72.880","69.500","71.000","16019449"
"002371","2019-09-05","71.460","74.550","70.530","72.220","13984188"
"002371","2019-09-06","72.010","73.200","68.900","70.320","15766174"
"002371","2019-09-09","70.950","72.700","70.000","72.540","13350580"
"002371","2019-09-10","72.400","72.400","69.040","70.000","12405641"
"002371","2019-09-11","70.010","70.950","67.950","68.580","10471037"
"002371","2019-09-12","69.110","71.230","68.880","69.180","9259480"
"002371","2019-09-16","69.540","71.190","68.500","70.440","9574212"
"002371","2019-09-17","69.750","69.870","67.100","67.980","8972921"
"002371","2019-09-18","68.300","68.830","67.190","68.540","5920863"
"002371","2019-09-19","68.530","70.400","68.050","70.110","10537693"
"002371","2019-09-20","70.100","71.670","69.220","70.980","11336343"
"002371","2019-09-23","70.950","78.080","69.600","78.080","21559683"
"002371","2019-09-24","79.800","85.800","79.540","81.850","26389492"
"002371","2019-09-25","81.630","82.900","78.590","79.800","18630271"
"002371","2019-09-26","80.010","80.700","71.820","71.820","21754505"
"002371","2019-09-27","69.800","70.430","67.240","69.000","22016006"
"002371","2019-09-30","68.300","68.680","65.580","65.580","12443962"
"002371","2019-10-08","65.720","66.770","64.810","65.300","8571906"
"002371","2019-10-09","65.320","67.000","64.200","66.630","6637390"
"002371","2019-10-10","66.700","69.300","66.330","69.090","11267721"
"002371","2019-10-11","69.090","69.090","66.060","66.340","12343682"
"002371","2019-10-14","67.270","67.800","66.630","67.500","9132940"
"002371","2019-10-15","67.100","67.100","64.440","64.630","9686090"
"002371","2019-10-16","64.600","65.370","63.500","63.500","8193554"
"002371","2019-10-17","64.080","64.240","62.800","63.000","6552337"
"002371","2019-10-18","63.270","64.490","62.500","62.660","7397135"
"002371","2019-10-21","62.300","63.600","61.030","63.490","5365094"
"002371","2019-10-22","63.400","64.750","63.210","64.180","5950782"
